id,smiles
Tanimoto_morgan_Acetylcholinesterase_SIMS,CCCN(C)CC1:C:C:C:C:C:1
Tanimoto_morgan_Acetylcholinesterase_MOLS,CCCCCNC1:C2:C(:N:C3:C:C:C:C:C:1:3)CCCC2
